pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	hidden650_batch64_dropout0.2_lr10.0
L__NOUN_VERB_VERB	3	3	sing	writes	correct	generated	I pose the terror you renewed to me	0	False	2211	5	8	I pose the terror you renewed to me becomes to the Calcutta Bosnia at Adriana ( connected in Todd ) . <eos>	-15.4133
L__NOUN_VERB_VERB	3	3	sing	write	wrong	generated	I pose the terror you renewed to me	0	False	4732	5	8	I pose the terror you renewed to me becomes to the Calcutta Bosnia at Adriana ( connected in Todd ) . <eos>	-14.2867
L__NOUN_VERB_VERB	3	2	sing	spends	correct	generated	I seek the chairman you slept to me	0	False	506	5	8	I seek the chairman you slept to me lets to the Space Jared at USA ( killed in Shona ) . <eos>	-16.1771
L__NOUN_VERB_VERB	3	2	sing	spend	wrong	generated	I seek the chairman you slept to me	0	False	2073	5	8	I seek the chairman you slept to me lets to the Space Jared at USA ( killed in Shona ) . <eos>	-12.8202
R__VERB_NOUN_CCONJ_VERB	9	0	plur	want	correct	original	I dislike this urban society and	0	False	4591	5	6	I dislike this urban society and want to leave this whole enviroment . <eos>	-6.05757
R__VERB_NOUN_CCONJ_VERB	9	0	plur	wants	wrong	original	I dislike this urban society and	0	False	1899	5	6	I dislike this urban society and want to leave this whole enviroment . <eos>	-6.76241
R__VERB_NOUN_CCONJ_VERB	14	0	sing	spills	correct	original	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and	0	False	118	5	21	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills into the parking lot . <eos>	-10.0619
R__VERB_NOUN_CCONJ_VERB	14	0	sing	spill	wrong	original	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and	0	False	220	5	21	The first thing you notice when you arrive on location is that the waiting line literally goes out the door and spills into the parking lot . <eos>	-10.425
L__NOUN_VERB_VERB	9	0	plur	seem	correct	original	But other people do like the way they think he will vote , and the ones who favor him	1	True	2483	4	19	But other people do like the way they think he will vote , and the ones who favor him seem to outnumber the ones who oppose him . <eos>	-6.8541
L__NOUN_VERB_VERB	9	0	plur	seems	wrong	original	But other people do like the way they think he will vote , and the ones who favor him	1	True	3849	4	19	But other people do like the way they think he will vote , and the ones who favor him seem to outnumber the ones who oppose him . <eos>	-7.57693
R__VERB_NOUN_CCONJ_VERB	9	3	plur	get	correct	generated	I seek this understandable childbirth and	0	False	12430	5	6	I seek this understandable childbirth and seek to testify this tripartite atmosphere . <eos>	-5.14764
R__VERB_NOUN_CCONJ_VERB	9	3	plur	gets	wrong	generated	I seek this understandable childbirth and	0	False	2627	5	6	I seek this understandable childbirth and seek to testify this tripartite atmosphere . <eos>	-8.46838
L__NOUN_VERB_VERB	22	1	sing	allows	correct	generated	The first bridge you make why you include on tourism	0	False	5948	8	10	The first bridge you make why you include on tourism indicates that the bronze lap deliberately reflects out the mode and generates into the sea lieutenant . <eos>	-7.40246
L__NOUN_VERB_VERB	22	1	sing	allow	wrong	generated	The first bridge you make why you include on tourism	0	False	8990	8	10	The first bridge you make why you include on tourism indicates that the bronze lap deliberately reflects out the mode and generates into the sea lieutenant . <eos>	-9.76907
R__VERB_NOUN_CCONJ_VERB	4	1	plur	drop	correct	generated	Read me lose if you describe any millions or	0	False	2327	4	9	Read me lose if you describe any millions or deserve anything empty . <eos>	-9.06287
R__VERB_NOUN_CCONJ_VERB	4	1	plur	drops	wrong	generated	Read me lose if you describe any millions or	0	False	771	4	9	Read me lose if you describe any millions or deserve anything empty . <eos>	-10.2954
L__NOUN_VERB_VERB	4	5	sing	is	correct	generated	My deregulation with asking the width happily	0	False	649202	6	7	My deregulation with asking the width happily enjoys , could it be eliminated that jointly everyone felt the production would or could enable at any lettuce , since we surprisingly bought Christianity and Lessons and if they handed they might have traveled a particular group ?? <eos>	-2.91383
L__NOUN_VERB_VERB	4	5	sing	are	wrong	generated	My deregulation with asking the width happily	0	False	261453	6	7	My deregulation with asking the width happily enjoys , could it be eliminated that jointly everyone felt the production would or could enable at any lettuce , since we surprisingly bought Christianity and Lessons and if they handed they might have traveled a particular group ?? <eos>	-7.17677
L__NOUN_VERB_VERB	17	9	sing	ends	correct	generated	The practical couple laws deserve there	1	False	4068	4	6	The practical couple laws deserve there owes revise to the habitation . <eos>	-12.7954
L__NOUN_VERB_VERB	17	9	sing	end	wrong	generated	The practical couple laws deserve there	1	False	34799	4	6	The practical couple laws deserve there owes revise to the habitation . <eos>	-12.9576
L__NOUN_VERB_VERB	24	0	plur	look	correct	original	Workers who do these introductions	0	False	5041	5	5	Workers who do these introductions look at the interaction objectively ; and it 's good to see they are able and willing to say no if they feel there would be a problem . <eos>	-8.38546
L__NOUN_VERB_VERB	24	0	plur	looks	wrong	original	Workers who do these introductions	0	False	1653	5	5	Workers who do these introductions look at the interaction objectively ; and it 's good to see they are able and willing to say no if they feel there would be a problem . <eos>	-13.0961
R__VERB_NOUN_CCONJ_VERB	9	5	plur	produce	correct	generated	I decide this informative deadline and	0	False	7920	5	6	I decide this informative deadline and believe to cease this cautious opinion . <eos>	-8.72722
R__VERB_NOUN_CCONJ_VERB	9	5	plur	produces	wrong	generated	I decide this informative deadline and	0	False	2089	5	6	I decide this informative deadline and believe to cease this cautious opinion . <eos>	-11.3186
L__NOUN_VERB_VERB	13	4	sing	explains	correct	generated	"Because of the giraffe that his financial concert with Briggs Angeles had personalized him , he printed standards toxic as : "" You can belong a currency and a prey , eight clause you ca n't burn"	0	True	1823	5	37	"Because of the giraffe that his financial concert with Briggs Angeles had personalized him , he printed standards toxic as : "" You can belong a currency and a prey , eight clause you ca n't burn understands whenever you 're delicious effectively "" and pledged machines to the "" Ryan Blanco "" blackmail reflecting that "" thus he handed Bangladeshi centuries to require respectively flexible as a timing "" . <eos>"	-15.8604
L__NOUN_VERB_VERB	13	4	sing	explain	wrong	generated	"Because of the giraffe that his financial concert with Briggs Angeles had personalized him , he printed standards toxic as : "" You can belong a currency and a prey , eight clause you ca n't burn"	0	True	2136	5	37	"Because of the giraffe that his financial concert with Briggs Angeles had personalized him , he printed standards toxic as : "" You can belong a currency and a prey , eight clause you ca n't burn understands whenever you 're delicious effectively "" and pledged machines to the "" Ryan Blanco "" blackmail reflecting that "" thus he handed Bangladeshi centuries to require respectively flexible as a timing "" . <eos>"	-14.2508
L__NOUN_VERB_VERB	0	1	sing	asks	correct	generated	The participation to sell in sect	0	False	1751	5	6	The participation to sell in sect indicates that Huge Additional rocks and Jews and dangerous Huge bodies are superior to pay badly strictly southwestern to the Enquirer in Ernie than al - Tet individuals , and it would be functional to compete one 's appointments off the bored habitation . <eos>	-13.2354
L__NOUN_VERB_VERB	0	1	sing	ask	wrong	generated	The participation to sell in sect	0	False	1771	5	6	The participation to sell in sect indicates that Huge Additional rocks and Jews and dangerous Huge bodies are superior to pay badly strictly southwestern to the Enquirer in Ernie than al - Tet individuals , and it would be functional to compete one 's appointments off the bored habitation . <eos>	-16.8702
R__VERB_NOUN_CCONJ_VERB	15	4	sing	returns	correct	generated	If you recommend a website who will put to you and slack he will eat and then deserve his swap , and not manage what he is checking about whenever he seems tankers at awesome characters and	0	True	2754	6	37	If you recommend a website who will put to you and slack he will eat and then deserve his swap , and not manage what he is checking about whenever he seems tankers at awesome characters and loves they intend what you suggest , whenever they will not promote for you , groom to this justification ... he is the activity for you . <eos>	-8.92211
R__VERB_NOUN_CCONJ_VERB	15	4	sing	return	wrong	generated	If you recommend a website who will put to you and slack he will eat and then deserve his swap , and not manage what he is checking about whenever he seems tankers at awesome characters and	0	True	13565	6	37	If you recommend a website who will put to you and slack he will eat and then deserve his swap , and not manage what he is checking about whenever he seems tankers at awesome characters and loves they intend what you suggest , whenever they will not promote for you , groom to this justification ... he is the activity for you . <eos>	-8.71497
R__VERB_NOUN_CCONJ_VERB	13	9	plur	apply	correct	generated	They immensely include if you pick route in your labor , ( for contents like me ) , they wash an acronym of the declaration and	0	True	2730	7	26	They immensely include if you pick route in your labor , ( for contents like me ) , they wash an acronym of the declaration and intend weak alterations to vary . <eos>	-7.06796
R__VERB_NOUN_CCONJ_VERB	13	9	plur	applies	wrong	generated	They immensely include if you pick route in your labor , ( for contents like me ) , they wash an acronym of the declaration and	0	True	1246	7	26	They immensely include if you pick route in your labor , ( for contents like me ) , they wash an acronym of the declaration and intend weak alterations to vary . <eos>	-9.98921
L__NOUN_VERB_VERB	13	1	sing	affirms	correct	generated	"Because of the rain that his positive racism with Blount Antonio had sent him , he hired bases maximum as : "" You can come a queen and a gallon , eight cop you ca n't vomit"	0	True	80	5	37	"Because of the rain that his positive racism with Blount Antonio had sent him , he hired bases maximum as : "" You can come a queen and a gallon , eight cop you ca n't vomit enables whenever you 're messy ethnically "" and paid lights to the "" Governor States "" chili considering that "" now he grew Major dollars to reopen gently desirable as a wedding "" . <eos>"	-20.1569
L__NOUN_VERB_VERB	13	1	sing	affirm	wrong	generated	"Because of the rain that his positive racism with Blount Antonio had sent him , he hired bases maximum as : "" You can come a queen and a gallon , eight cop you ca n't vomit"	0	True	127	5	37	"Because of the rain that his positive racism with Blount Antonio had sent him , he hired bases maximum as : "" You can come a queen and a gallon , eight cop you ca n't vomit enables whenever you 're messy ethnically "" and paid lights to the "" Governor States "" chili considering that "" now he grew Major dollars to reopen gently desirable as a wedding "" . <eos>"	-17.5351
L__NOUN_VERB_VERB	9	2	plur	feel	correct	generated	But active researchers do hurt the couch they laugh he will communicate , and the agreements who begin him	1	True	3157	4	19	But active researchers do hurt the couch they laugh he will communicate , and the agreements who begin him tend to afford the attorneys who apologize him . <eos>	-8.60175
L__NOUN_VERB_VERB	9	2	plur	feels	wrong	generated	But active researchers do hurt the couch they laugh he will communicate , and the agreements who begin him	1	True	1141	4	19	But active researchers do hurt the couch they laugh he will communicate , and the agreements who begin him tend to afford the attorneys who apologize him . <eos>	-10.4915
R__VERB_NOUN_CCONJ_VERB	13	8	plur	ensure	correct	generated	They environmentally agree if you serve snack in your racism , ( for communities like me ) , they reflect an entertainment of the surge and	0	True	3569	7	26	They environmentally agree if you serve snack in your racism , ( for communities like me ) , they reflect an entertainment of the surge and extend nutritional introductions to miss . <eos>	-8.71172
R__VERB_NOUN_CCONJ_VERB	13	8	plur	ensures	wrong	generated	They environmentally agree if you serve snack in your racism , ( for communities like me ) , they reflect an entertainment of the surge and	0	True	399	7	26	They environmentally agree if you serve snack in your racism , ( for communities like me ) , they reflect an entertainment of the surge and extend nutritional introductions to miss . <eos>	-11.6905
R__VERB_NOUN_CCONJ_VERB	8	9	sing	follows	correct	generated	It belongs the strife for programming assistance and	0	False	5149	7	8	It belongs the strife for programming assistance and provides , “ We are supplied that the Reagan should not affect with timely - wealth losses who thank to harass and grab recently and efficiently in the nights , sections , and forums of dual document . ” <eos>	-9.18827
R__VERB_NOUN_CCONJ_VERB	8	9	sing	follow	wrong	generated	It belongs the strife for programming assistance and	0	False	4277	7	8	It belongs the strife for programming assistance and provides , “ We are supplied that the Reagan should not affect with timely - wealth losses who thank to harass and grab recently and efficiently in the nights , sections , and forums of dual document . ” <eos>	-11.8156
R__VERB_NOUN_CCONJ_VERB	1	9	plur	know	correct	generated	I continue we simply throw the campaigning and	0	False	5925	4	8	I continue we simply throw the campaigning and sell to Montgomery . <eos>	-6.94169
R__VERB_NOUN_CCONJ_VERB	1	9	plur	knows	wrong	generated	I continue we simply throw the campaigning and	0	False	1302	4	8	I continue we simply throw the campaigning and sell to Montgomery . <eos>	-10.7031
R__VERB_NOUN_CCONJ_VERB	5	7	plur	pose	correct	generated	Get me flee if you learn any rights or	0	False	552	4	9	Get me flee if you learn any rights or thank anything usual . <eos>	-12.1369
R__VERB_NOUN_CCONJ_VERB	5	7	plur	poses	wrong	generated	Get me flee if you learn any rights or	0	False	331	4	9	Get me flee if you learn any rights or thank anything usual . <eos>	-11.9745
R__VERB_NOUN_CCONJ_VERB	8	5	sing	creates	correct	generated	It pretends the factory for slang assistance and	0	False	1563	7	8	It pretends the factory for slang assistance and becomes , “ We are tied that the Belarus should not include with beneficial - scientist technologies who hear to die and bother hardly and adequately in the vocals , boys , and laptops of convinced format . ” <eos>	-6.07025
R__VERB_NOUN_CCONJ_VERB	8	5	sing	create	wrong	generated	It pretends the factory for slang assistance and	0	False	8745	7	8	It pretends the factory for slang assistance and becomes , “ We are tied that the Belarus should not include with beneficial - scientist technologies who hear to die and bother hardly and adequately in the vocals , boys , and laptops of convinced format . ” <eos>	-11.1753
L__NOUN_VERB_VERB	19	3	plur	act	correct	generated	the animated titles we choose in our director	1	False	8285	6	8	the animated titles we choose in our director admit ; we refuse crisis duty for easter , dog leash and radio - wall for Kathy . <eos>	-8.98714
L__NOUN_VERB_VERB	19	3	plur	acts	wrong	generated	the animated titles we choose in our director	1	False	4061	6	8	the animated titles we choose in our director admit ; we refuse crisis duty for easter , dog leash and radio - wall for Kathy . <eos>	-10.7329
L__NOUN_VERB_VERB	12	0	plur	include	correct	original	Important species that probably would decline	1	False	24625	5	6	Important species that probably would decline include shrimp , capelin , Greenland halibut and some varieties of flatfish . <eos>	-3.16279
L__NOUN_VERB_VERB	12	0	plur	includes	wrong	original	Important species that probably would decline	1	False	10564	5	6	Important species that probably would decline include shrimp , capelin , Greenland halibut and some varieties of flatfish . <eos>	-8.85918
L__NOUN_VERB_VERB	3	1	sing	blames	correct	generated	I deserve the star you popped to me	0	False	154	5	8	I deserve the star you popped to me lets to the Gray LA at El ( failed in Dudley ) . <eos>	-18.7101
L__NOUN_VERB_VERB	3	1	sing	blame	wrong	generated	I deserve the star you popped to me	0	False	657	5	8	I deserve the star you popped to me lets to the Gray LA at El ( failed in Dudley ) . <eos>	-17.1698
L__NOUN_VERB_VERB	19	0	plur	are	correct	original	the <unk> customs we have in our family	1	False	261453	6	8	the irish customs we have in our family are ; we make sinnel cake for easter , barn brack and col - cannon for Halloween . <eos>	-2.00953
L__NOUN_VERB_VERB	19	0	plur	is	wrong	original	the <unk> customs we have in our family	1	False	649202	6	8	the irish customs we have in our family are ; we make sinnel cake for easter , barn brack and col - cannon for Halloween . <eos>	-2.39274
R__VERB_NOUN_CCONJ_VERB	3	5	plur	stop	correct	generated	Please tell me listen if you meet any categories or	0	False	5730	4	10	Please tell me listen if you meet any categories or continue anything educated . <eos>	-9.61071
R__VERB_NOUN_CCONJ_VERB	3	5	plur	stops	wrong	generated	Please tell me listen if you meet any categories or	0	False	1587	4	10	Please tell me listen if you meet any categories or continue anything educated . <eos>	-10.6371
R__VERB_NOUN_CCONJ_VERB	4	8	plur	point	correct	generated	Stay me marry if you respond any comments or	0	False	19649	4	9	Stay me marry if you respond any comments or manage anything equine . <eos>	-6.72011
R__VERB_NOUN_CCONJ_VERB	4	8	plur	points	wrong	generated	Stay me marry if you respond any comments or	0	False	12408	4	9	Stay me marry if you respond any comments or manage anything equine . <eos>	-7.63185
R__VERB_NOUN_CCONJ_VERB	12	8	sing	compares	correct	generated	Remember for a siege of commanders in their journalist that happens from the custody and	0	False	320	5	15	Remember for a siege of commanders in their journalist that happens from the custody and stands relatively to the jail fo the sake . <eos>	-14.2218
R__VERB_NOUN_CCONJ_VERB	12	8	sing	compare	wrong	generated	Remember for a siege of commanders in their journalist that happens from the custody and	0	False	692	5	15	Remember for a siege of commanders in their journalist that happens from the custody and stands relatively to the jail fo the sake . <eos>	-13.3645
L__NOUN_VERB_VERB	18	4	sing	approves	correct	generated	The essential legislative sump I have narrowed	0	False	78	4	7	The essential legislative sump I have narrowed agrees that in the congregation of Elliott eight defense of the beginner is again greeted in the lifestyle the regime before the sample , this tire switched after the hysterical discovery . <eos>	-16.5352
L__NOUN_VERB_VERB	18	4	sing	approve	wrong	generated	The essential legislative sump I have narrowed	0	False	536	4	7	The essential legislative sump I have narrowed agrees that in the congregation of Elliott eight defense of the beginner is again greeted in the lifestyle the regime before the sample , this tire switched after the hysterical discovery . <eos>	-13.8062
R__VERB_NOUN_CCONJ_VERB	11	0	sing	has	correct	original	This type of harness goes around the dog s chest and legs and	0	False	171095	9	13	This type of harness goes around the dog s chest and legs and has a clip for the leash up on the back of the dog in middle of shoulder blades . <eos>	-3.2832
R__VERB_NOUN_CCONJ_VERB	11	0	sing	have	wrong	original	This type of harness goes around the dog s chest and legs and	0	False	152781	9	13	This type of harness goes around the dog s chest and legs and has a clip for the leash up on the back of the dog in middle of shoulder blades . <eos>	-7.0391
R__VERB_NOUN_CCONJ_VERB	2	3	plur	look	correct	generated	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and	0	True	5041	7	18	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and deny currently to partner the reputation after we choose ) <eos>	-6.39795
R__VERB_NOUN_CCONJ_VERB	2	3	plur	looks	wrong	generated	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and	0	True	1653	7	18	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and deny currently to partner the reputation after we choose ) <eos>	-9.21575
L__NOUN_VERB_VERB	8	0	sing	grows	correct	original	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her	0	True	1046	4	23	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her grows exponentially . <eos>	-9.43317
L__NOUN_VERB_VERB	8	0	sing	grow	wrong	original	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her	0	True	3244	4	23	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her grows exponentially . <eos>	-6.47112
R__VERB_NOUN_CCONJ_VERB	9	9	plur	remain	correct	generated	I become this unacceptable hour and	0	False	6999	5	6	I become this unacceptable hour and learn to reduce this prime asset . <eos>	-8.73357
R__VERB_NOUN_CCONJ_VERB	9	9	plur	remains	wrong	generated	I become this unacceptable hour and	0	False	9459	5	6	I become this unacceptable hour and learn to reduce this prime asset . <eos>	-10.6317
R__VERB_NOUN_CCONJ_VERB	7	9	sing	sees	correct	generated	As you begin above the kidney , the wealth of the religious disappointment writes your toy and	0	True	2251	4	17	As you begin above the kidney , the wealth of the religious disappointment writes your toy and continues you harass younger and happier . <eos>	-7.54073
R__VERB_NOUN_CCONJ_VERB	7	9	sing	see	wrong	generated	As you begin above the kidney , the wealth of the religious disappointment writes your toy and	0	True	15996	4	17	As you begin above the kidney , the wealth of the religious disappointment writes your toy and continues you harass younger and happier . <eos>	-7.51177
R__VERB_NOUN_CCONJ_VERB	4	9	plur	beg	correct	generated	Follow me fill if you collaborate any commitments or	0	False	108	4	9	Follow me fill if you collaborate any commitments or throw anything enjoyable . <eos>	-11.6698
R__VERB_NOUN_CCONJ_VERB	4	9	plur	begs	wrong	generated	Follow me fill if you collaborate any commitments or	0	False	209	4	9	Follow me fill if you collaborate any commitments or throw anything enjoyable . <eos>	-13.2996
R__VERB_NOUN_CCONJ_VERB	7	8	sing	pays	correct	generated	As you tolerate above the designer , the countryside of the religious foster gives your club and	0	True	479	4	17	As you tolerate above the designer , the countryside of the religious foster gives your club and receives you clarify darker and darker . <eos>	-8.10168
R__VERB_NOUN_CCONJ_VERB	7	8	sing	pay	wrong	generated	As you tolerate above the designer , the countryside of the religious foster gives your club and	0	True	5913	4	17	As you tolerate above the designer , the countryside of the religious foster gives your club and receives you clarify darker and darker . <eos>	-8.26497
L__NOUN_VERB_VERB	18	7	sing	enters	correct	generated	The acceptable small photograph I have changed	0	False	1492	4	7	The acceptable small photograph I have changed offers that in the correspondence of Aquarius eight bonus of the majority is also repaired in the hybrid the wildlife before the fist , this chapel communicated after the provincial radar . <eos>	-12.9554
L__NOUN_VERB_VERB	18	7	sing	enter	wrong	generated	The acceptable small photograph I have changed	0	False	3610	4	7	The acceptable small photograph I have changed offers that in the correspondence of Aquarius eight bonus of the majority is also repaired in the hybrid the wildlife before the fist , this chapel communicated after the provincial radar . <eos>	-13.6009
R__VERB_NOUN_CCONJ_VERB	4	0	plur	need	correct	original	Let me know if you have any questions or	0	False	9900	4	9	Let me know if you have any questions or need anything else . <eos>	-5.50524
R__VERB_NOUN_CCONJ_VERB	4	0	plur	needs	wrong	original	Let me know if you have any questions or	0	False	4816	4	9	Let me know if you have any questions or need anything else . <eos>	-4.19017
L__NOUN_VERB_VERB	8	4	sing	produces	correct	generated	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her	0	True	2089	4	23	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her lasts onboard . <eos>	-12.1831
L__NOUN_VERB_VERB	8	4	sing	produce	wrong	generated	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her	0	True	7920	4	23	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her lasts onboard . <eos>	-11.3114
L__NOUN_VERB_VERB	16	9	sing	affirms	correct	generated	The hardest bomber you can define in UN	0	False	80	6	8	The hardest bomber you can define in UN identifies to breathe to a recognition . <eos>	-15.9161
L__NOUN_VERB_VERB	16	9	sing	affirm	wrong	generated	The hardest bomber you can define in UN	0	False	127	6	8	The hardest bomber you can define in UN identifies to breathe to a recognition . <eos>	-15.7727
L__NOUN_VERB_VERB	15	7	sing	offers	correct	generated	The overdue rat to fix for consistent	0	False	5191	5	7	The overdue rat to fix for consistent explains to make nine , or your lighting clinic breakfast surgery , and immigrate . <eos>	-8.78102
L__NOUN_VERB_VERB	15	7	sing	offer	wrong	generated	The overdue rat to fix for consistent	0	False	5822	5	7	The overdue rat to fix for consistent explains to make nine , or your lighting clinic breakfast surgery , and immigrate . <eos>	-11.8686
R__VERB_NOUN_CCONJ_VERB	9	7	plur	require	correct	generated	I continue this economic plot and	0	False	4657	5	6	I continue this economic plot and seek to miss this familiar administration . <eos>	-8.5822
R__VERB_NOUN_CCONJ_VERB	9	7	plur	requires	wrong	generated	I continue this economic plot and	0	False	3879	5	6	I continue this economic plot and seek to miss this familiar administration . <eos>	-9.96261
L__NOUN_VERB_VERB	4	2	sing	affirms	correct	generated	My waiter with using the preference therefore	0	False	80	6	7	My waiter with using the preference therefore involves , could it be assassinated that fairly everyone voted the judgment would or could establish at any murderer , since we mutually tasted Juan and Professors and if they testified they might have stated a bland clue ?? <eos>	-13.1551
L__NOUN_VERB_VERB	4	2	sing	affirm	wrong	generated	My waiter with using the preference therefore	0	False	127	6	7	My waiter with using the preference therefore involves , could it be assassinated that fairly everyone voted the judgment would or could establish at any murderer , since we mutually tasted Juan and Professors and if they testified they might have stated a bland clue ?? <eos>	-13.2916
L__NOUN_VERB_VERB	1	8	sing	suspects	correct	generated	An educational arrangement accused in trillion	0	False	530	4	6	"An educational arrangement accused in trillion knows there add twenty "" holdings "" in the Industry Ages , but investigative rooms are harshly greater than this . <eos>"	-12.3392
L__NOUN_VERB_VERB	1	8	sing	suspect	wrong	generated	An educational arrangement accused in trillion	0	False	798	4	6	"An educational arrangement accused in trillion knows there add twenty "" holdings "" in the Industry Ages , but investigative rooms are harshly greater than this . <eos>"	-15.4266
L__NOUN_VERB_VERB	13	7	sing	includes	correct	generated	"Because of the decrease that his terrible pig with Toyota Iris had happened him , he tracked regulations simple as : "" You can propose a habitation and a debt , eight song you ca n't grab"	0	True	10564	5	37	"Because of the decrease that his terrible pig with Toyota Iris had happened him , he tracked regulations simple as : "" You can propose a habitation and a debt , eight song you ca n't grab advises whenever you 're pleasant absolutely "" and checked balls to the "" Tori North "" depth concluding that "" really he replaced Nepalese circumstances to burn truly tribal as a replacement "" . <eos>"	-16.0264
L__NOUN_VERB_VERB	13	7	sing	include	wrong	generated	"Because of the decrease that his terrible pig with Toyota Iris had happened him , he tracked regulations simple as : "" You can propose a habitation and a debt , eight song you ca n't grab"	0	True	24625	5	37	"Because of the decrease that his terrible pig with Toyota Iris had happened him , he tracked regulations simple as : "" You can propose a habitation and a debt , eight song you ca n't grab advises whenever you 're pleasant absolutely "" and checked balls to the "" Tori North "" depth concluding that "" really he replaced Nepalese circumstances to burn truly tribal as a replacement "" . <eos>"	-13.7304
R__VERB_NOUN_CCONJ_VERB	14	3	sing	thinks	correct	generated	The first pregnancy you proceed why you include on gravy adds that the bottle mix still follows out the pregnancy and	0	False	805	5	21	The first pregnancy you proceed why you include on gravy adds that the bottle mix still follows out the pregnancy and cares into the perspective breakfast . <eos>	-10.6995
R__VERB_NOUN_CCONJ_VERB	14	3	sing	think	wrong	generated	The first pregnancy you proceed why you include on gravy adds that the bottle mix still follows out the pregnancy and	0	False	4658	5	21	The first pregnancy you proceed why you include on gravy adds that the bottle mix still follows out the pregnancy and cares into the perspective breakfast . <eos>	-10.8181
L__NOUN_VERB_VERB	1	1	sing	poses	correct	generated	An excellent investigation established in six	0	False	331	4	6	"An excellent investigation established in six belongs there extend nine "" taxes "" in the Al Iraqis , but overdue liabilities are regularly healthier than this . <eos>"	-9.57254
L__NOUN_VERB_VERB	1	1	sing	pose	wrong	generated	An excellent investigation established in six	0	False	552	4	6	"An excellent investigation established in six belongs there extend nine "" taxes "" in the Al Iraqis , but overdue liabilities are regularly healthier than this . <eos>"	-14.4847
R__VERB_NOUN_CCONJ_VERB	14	5	sing	turns	correct	generated	The first bench you seem whenever you add on stabilization incorporates that the childhood slang continually remembers out the chaos and	0	False	2900	5	21	The first bench you seem whenever you add on stabilization incorporates that the childhood slang continually remembers out the chaos and begins into the tide willingness . <eos>	-6.93274
R__VERB_NOUN_CCONJ_VERB	14	5	sing	turn	wrong	generated	The first bench you seem whenever you add on stabilization incorporates that the childhood slang continually remembers out the chaos and	0	False	8735	5	21	The first bench you seem whenever you add on stabilization incorporates that the childhood slang continually remembers out the chaos and begins into the tide willingness . <eos>	-7.25256
L__NOUN_VERB_VERB	4	8	sing	opens	correct	generated	My gentleman with arranging the breast sometimes	0	False	1069	6	7	My gentleman with arranging the breast sometimes advises , could it be expected that presently everyone received the bench would or could exceed at any feedback , since we personally chose Richard and States and if they showed they might have paid a racial transmission ?? <eos>	-7.75231
L__NOUN_VERB_VERB	4	8	sing	open	wrong	generated	My gentleman with arranging the breast sometimes	0	False	13479	6	7	My gentleman with arranging the breast sometimes advises , could it be expected that presently everyone received the bench would or could exceed at any feedback , since we personally chose Richard and States and if they showed they might have paid a racial transmission ?? <eos>	-7.66588
R__VERB_NOUN_CCONJ_VERB	13	7	plur	apply	correct	generated	They anymore arrive if you pale width in your surgery , ( for springs like me ) , they tend an initiative of the corps and	0	True	2730	7	26	They anymore arrive if you pale width in your surgery , ( for springs like me ) , they tend an initiative of the corps and apply blurred accessories to protect . <eos>	-7.93914
R__VERB_NOUN_CCONJ_VERB	13	7	plur	applies	wrong	generated	They anymore arrive if you pale width in your surgery , ( for springs like me ) , they tend an initiative of the corps and	0	True	1246	7	26	They anymore arrive if you pale width in your surgery , ( for springs like me ) , they tend an initiative of the corps and apply blurred accessories to protect . <eos>	-10.9369
L__NOUN_VERB_VERB	16	6	sing	acts	correct	generated	The youngest clause you can prepare in EPA	0	False	4061	6	8	The youngest clause you can prepare in EPA advises to join to a sake . <eos>	-8.91797
L__NOUN_VERB_VERB	16	6	sing	act	wrong	generated	The youngest clause you can prepare in EPA	0	False	8285	6	8	The youngest clause you can prepare in EPA advises to join to a sake . <eos>	-8.89095
R__VERB_NOUN_CCONJ_VERB	1	2	plur	state	correct	generated	I tell we simultaneously prefer the winner and	0	False	41160	4	8	I tell we simultaneously prefer the winner and lose to Mars . <eos>	-11.7921
R__VERB_NOUN_CCONJ_VERB	1	2	plur	states	wrong	generated	I tell we simultaneously prefer the winner and	0	False	14851	4	8	I tell we simultaneously prefer the winner and lose to Mars . <eos>	-13.3558
R__VERB_NOUN_CCONJ_VERB	8	0	sing	states	correct	original	It presents the case for marriage equality and	0	False	14851	7	8	It presents the case for marriage equality and states , “ We are resolved that the State should not interfere with same - gender couples who choose to marry and share fully and equally in the rights , responsibilities , and commitments of civil marriage . ” <eos>	-9.17205
