pattern	constr_id	sent_id	correct_number	form	class	type	prefix	n_attr	punct	freq	len_context	len_prefix	sent	ngram_lstm_hidden650_batch256_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr5.0	ngram_lstm_hidden650_batch512_dropout0.1_lr5.0	ngram_lstm_hidden650_batch1024_dropout0.1_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.0_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr10.0	ngram_lstm_hidden650_batch256_dropout0.2_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr10.0	ngram_lstm_hidden650_batch256_dropout0.1_lr5.0	ngram_lstm_hidden650_batch256_dropout0.1_lr20.0	ngram_lstm_hidden650_batch256_dropout0.0_lr1.0	ngram_lstm_hidden650_batch256_dropout0.2_lr1.0	ngram_lstm_hidden650_batch256_dropout0.0_lr5.0	ngram_lstm_hidden650_batch256_dropout0.0_lr20.0	ngram_lstm_hidden650_batch512_dropout0.2_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr10.0	ngram_lstm_hidden650_batch512_dropout0.1_lr10.0	ngram_lstm_hidden650_batch512_dropout0.2_lr5.0	ngram_lstm_hidden650_batch512_dropout0.2_lr1.0	ngram_lstm_hidden650_batch512_dropout0.1_lr20.0	ngram_lstm_hidden650_batch1024_dropout0.0_lr1.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr10.0	ngram_lstm_hidden650_batch1024_dropout0.2_lr20.0
L__NOUN_VERB_VERB	19	0	plur	is	wrong	original	the <unk> customs we have in our family	1	False	649202	6	8	the irish customs we have in our family are ; we make sinnel cake for easter , barn brack and col - cannon for Halloween . <eos>	-3.96317	-4.75828	-4.54465	-4.37051	-5.33628	-5.90825	-4.6454	-3.95245	-4.45236	-5.6364	-3.85193	-4.36961	-5.20451	-4.79689	-3.69	-3.49646	-4.85749	-4.92135	-5.35804	-4.70785	-4.44173	-4.5848	-4.60474	-3.73959	-3.94272	-4.68785	-5.79921	-3.58099	-5.20013	-4.20716	-5.33194	-4.44329	-5.9226	-5.13792	-4.4838	-4.34461
R__VERB_NOUN_CCONJ_VERB	3	5	plur	stop	correct	generated	Please tell me listen if you meet any categories or	0	False	5730	4	10	Please tell me listen if you meet any categories or continue anything educated . <eos>	-8.75339	-9.67281	-10.7593	-10.3403	-9.31688	-9.86258	-8.83498	-9.93689	-8.20637	-9.10736	-9.12335	-9.14151	-8.18312	-10.5688	-10.4484	-8.12035	-10.0958	-9.25388	-9.60722	-8.09033	-9.38236	-9.84981	-9.07624	-10.2352	-8.7938	-8.73151	-8.73289	-8.96523	-9.06376	-9.28652	-9.86223	-9.08715	-9.83635	-8.40126	-9.99012	-8.73606
R__VERB_NOUN_CCONJ_VERB	3	5	plur	stops	wrong	generated	Please tell me listen if you meet any categories or	0	False	1587	4	10	Please tell me listen if you meet any categories or continue anything educated . <eos>	-8.27915	-11.0176	-10.2082	-10.5687	-11.0297	-9.70598	-10.0125	-11.7307	-10.9796	-9.97646	-9.24835	-13.0789	-10.8801	-10.4223	-11.635	-10.0617	-12.0598	-11.1411	-10.7885	-12.6838	-11.0885	-9.80489	-9.88714	-10.8735	-12.3071	-7.95354	-9.32671	-10.0993	-9.4552	-11.3146	-10.3241	-9.79457	-10.2832	-10.9533	-10.648	-11.2579
R__VERB_NOUN_CCONJ_VERB	4	8	plur	point	correct	generated	Stay me marry if you respond any comments or	0	False	19649	4	9	Stay me marry if you respond any comments or manage anything equine . <eos>	-8.50371	-8.98947	-7.45246	-8.88262	-9.03916	-8.33334	-7.96605	-7.83187	-8.85631	-8.38488	-9.90329	-7.35931	-8.71135	-7.44852	-9.77369	-9.5275	-10.0457	-9.72398	-9.56859	-7.64739	-7.65266	-9.41272	-7.9439	-9.72977	-7.58097	-8.2808	-8.7809	-7.90997	-9.14263	-10.8951	-7.0673	-9.2783	-7.99402	-8.66423	-11.1424	-8.00844
R__VERB_NOUN_CCONJ_VERB	4	8	plur	points	wrong	generated	Stay me marry if you respond any comments or	0	False	12408	4	9	Stay me marry if you respond any comments or manage anything equine . <eos>	-7.96829	-7.36718	-9.07411	-7.77819	-9.96615	-8.00488	-8.71224	-8.19913	-8.84888	-9.47294	-7.58172	-10.5747	-9.7787	-5.84005	-9.23208	-9.03755	-9.85258	-10.5702	-8.01986	-7.72597	-9.67153	-7.64834	-9.16393	-8.7814	-9.26599	-10.7181	-7.01807	-11.1558	-7.22518	-8.26737	-5.82076	-9.33813	-8.60621	-9.21433	-9.48167	-7.70526
R__VERB_NOUN_CCONJ_VERB	12	8	sing	compares	correct	generated	Remember for a siege of commanders in their journalist that happens from the custody and	0	False	320	5	15	Remember for a siege of commanders in their journalist that happens from the custody and stands relatively to the jail fo the sake . <eos>	-12.5496	-13.7837	-11.035	-11.0211	-13.1413	-11.5349	-13.356	-17.0261	-12.3969	-11.3213	-12.4125	-15.4953	-12.4511	-12.4858	-11.8158	-12.0945	-14.3213	-13.25	-14.2382	-12.3048	-12.8396	-13.5026	-15.3928	-13.1335	-11.7525	-13.0827	-11.5858	-14.3705	-11.459	-12.9238	-10.9397	-11.1973	-12.8113	-12.7631	-12.5921	-13.2371
R__VERB_NOUN_CCONJ_VERB	12	8	sing	compare	wrong	generated	Remember for a siege of commanders in their journalist that happens from the custody and	0	False	692	5	15	Remember for a siege of commanders in their journalist that happens from the custody and stands relatively to the jail fo the sake . <eos>	-10.6655	-12.4417	-11.1276	-9.89432	-12.0003	-11.7723	-12.3333	-11.8607	-10.9055	-11.4125	-11.4213	-11.404	-10.5563	-12.4962	-11.2	-10.5122	-11.9659	-12.0464	-10.9793	-11.7731	-11.0987	-11.6986	-12.2567	-10.7247	-9.78279	-10.8862	-10.8182	-12.2201	-11.464	-11.2562	-10.3621	-11.3062	-12.4766	-10.9177	-12.143	-10.8712
L__NOUN_VERB_VERB	18	4	sing	approves	correct	generated	The essential legislative sump I have narrowed	0	False	78	4	7	The essential legislative sump I have narrowed agrees that in the congregation of Elliott eight defense of the beginner is again greeted in the lifestyle the regime before the sample , this tire switched after the hysterical discovery . <eos>	-18.1681	-13.942	-13.7914	-13.9262	-16.2427	-15.8069	-14.5471	-15.5091	-15.3356	-15.5001	-19.8116	-17.5128	-15.9293	-14.736	-13.7355	-13.9938	-16.0232	-15.5231	-17.381	-15.9408	-14.85	-16.9191	-15.749	-16.2155	-16.4384	-16.8038	-13.3063	-15.0682	-13.7612	-16.0279	-14.0893	-15.3782	-14.3606	-15.6126	-14.2926	-17.0771
L__NOUN_VERB_VERB	18	4	sing	approve	wrong	generated	The essential legislative sump I have narrowed	0	False	536	4	7	The essential legislative sump I have narrowed agrees that in the congregation of Elliott eight defense of the beginner is again greeted in the lifestyle the regime before the sample , this tire switched after the hysterical discovery . <eos>	-16.4327	-13.4524	-13.0703	-11.8253	-15.2092	-15.4413	-14.0619	-15.7298	-14.6185	-15.0718	-18.0213	-15.9712	-14.5162	-13.6197	-13.3104	-12.8242	-14.9706	-13.854	-15.5015	-18.594	-12.6548	-13.7902	-14.9991	-16.5496	-15.2424	-16.5619	-11.6304	-15.2211	-12.2223	-15.1597	-13.3712	-14.5576	-13.8922	-14.0661	-12.9728	-13.5695
R__VERB_NOUN_CCONJ_VERB	11	0	sing	has	correct	original	This type of harness goes around the dog s chest and legs and	0	False	171095	9	13	This type of harness goes around the dog s chest and legs and has a clip for the leash up on the back of the dog in middle of shoulder blades . <eos>	-6.03751	-5.02723	-4.6003	-4.98438	-6.1297	-5.44135	-5.59775	-5.23345	-5.90193	-5.16772	-5.13322	-5.45654	-6.21459	-4.88191	-5.832	-5.1619	-4.60146	-5.42174	-4.99271	-5.13459	-4.07314	-4.96421	-5.18885	-5.03258	-5.08396	-4.60394	-5.43199	-5.21285	-4.49867	-4.78028	-6.0295	-5.59118	-5.54562	-5.21133	-5.20676	-5.44015
R__VERB_NOUN_CCONJ_VERB	11	0	sing	have	wrong	original	This type of harness goes around the dog s chest and legs and	0	False	152781	9	13	This type of harness goes around the dog s chest and legs and has a clip for the leash up on the back of the dog in middle of shoulder blades . <eos>	-6.01102	-5.93846	-5.42677	-5.26696	-5.22281	-5.76224	-5.05967	-5.81807	-5.82282	-5.43701	-5.65822	-6.40055	-5.51453	-6.33091	-5.28662	-5.16796	-5.37281	-6.02296	-4.90572	-5.07804	-5.41798	-5.40951	-6.75678	-6.09142	-7.30576	-5.0184	-6.22155	-6.37696	-6.6291	-5.02564	-5.87642	-5.75088	-5.88347	-5.25549	-6.55205	-5.73143
R__VERB_NOUN_CCONJ_VERB	2	3	plur	look	correct	generated	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and	0	True	5041	7	18	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and deny currently to partner the reputation after we choose ) <eos>	-7.59114	-7.30562	-7.56044	-8.01916	-6.9975	-7.97861	-6.95476	-7.87513	-7.39283	-7.38628	-5.67303	-5.87944	-6.98199	-6.51751	-7.84243	-7.1493	-9.06771	-8.65207	-8.20545	-5.78681	-9.01543	-5.13509	-7.76899	-7.41515	-7.61747	-7.51205	-6.87595	-7.37853	-6.48714	-7.99781	-7.20101	-7.50741	-5.75018	-7.705	-6.61486	-6.71451
R__VERB_NOUN_CCONJ_VERB	2	3	plur	looks	wrong	generated	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and	0	True	1653	7	18	Judges officially : Lexus billion through Ana nine ( using you sell on the database we recommend and deny currently to partner the reputation after we choose ) <eos>	-8.7443	-9.9656	-9.30348	-10.4324	-12.2017	-9.21786	-10.2337	-10.197	-9.40989	-8.9663	-8.5331	-10.8294	-9.85867	-9.64642	-11.3529	-9.3426	-8.41871	-10.5432	-10.5954	-11.3431	-9.701	-7.65001	-9.63506	-9.50313	-11.0803	-10.0139	-8.9345	-10.6296	-8.86358	-11.2655	-8.41479	-9.1092	-8.67924	-9.37893	-9.0443	-9.15074
L__NOUN_VERB_VERB	8	0	sing	grows	correct	original	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her	0	True	1046	4	23	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her grows exponentially . <eos>	-13.0367	-13.9782	-13.1588	-12.5944	-13.7153	-14.9437	-13.9363	-14.8931	-16.4093	-15.4938	-14.7795	-14.0712	-16.634	-12.0954	-12.3419	-13.3912	-14.6469	-13.8436	-10.8588	-15.2688	-11.7249	-14.7515	-13.3798	-13.2129	-11.0003	-13.3366	-13.0587	-14.5667	-12.4333	-13.9009	-13.0051	-15.3078	-14.4461	-17.5246	-11.1387	-13.5066
L__NOUN_VERB_VERB	8	0	sing	grow	wrong	original	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her	0	True	3244	4	23	Also encourage your recipients to forward this along to their contacts , and so on , so that the movement to help her grows exponentially . <eos>	-6.22944	-7.07333	-5.65722	-6.15662	-5.00079	-9.99708	-7.05476	-7.55207	-11.1203	-9.99223	-4.77418	-5.10576	-10.6241	-6.39835	-7.17519	-5.82831	-5.34204	-5.64823	-4.84754	-5.95505	-4.8905	-5.57242	-5.63812	-6.94125	-5.96479	-4.59389	-7.22082	-4.71492	-5.63345	-6.07978	-5.36329	-10.3623	-7.35639	-12.6291	-6.16317	-7.00321
R__VERB_NOUN_CCONJ_VERB	9	9	plur	remain	correct	generated	I become this unacceptable hour and	0	False	6999	5	6	I become this unacceptable hour and learn to reduce this prime asset . <eos>	-8.27811	-9.05212	-8.60713	-9.00868	-6.99845	-7.85918	-8.15018	-7.45804	-8.90639	-8.46479	-7.86002	-8.6762	-8.16341	-8.01896	-7.71921	-7.89356	-8.81006	-8.55115	-7.60499	-6.29018	-7.48914	-8.07801	-8.91906	-7.37769	-7.01225	-6.675	-8.9622	-9.32459	-8.34333	-6.84449	-8.2102	-9.06121	-8.12058	-9.36554	-8.1186	-8.7853
R__VERB_NOUN_CCONJ_VERB	9	9	plur	remains	wrong	generated	I become this unacceptable hour and	0	False	9459	5	6	I become this unacceptable hour and learn to reduce this prime asset . <eos>	-9.29575	-8.38958	-7.62522	-9.04101	-8.24677	-6.81408	-7.59593	-8.74869	-7.55618	-6.80257	-9.29185	-9.22036	-7.63297	-8.22333	-9.47225	-7.62887	-7.83006	-9.93205	-8.47689	-8.1129	-8.73702	-8.33832	-8.8319	-7.72193	-8.9386	-10.931	-8.85128	-11.1791	-7.63903	-9.54652	-7.76077	-7.29679	-8.08808	-6.85507	-8.5952	-8.27229
R__VERB_NOUN_CCONJ_VERB	7	9	sing	sees	correct	generated	As you begin above the kidney , the wealth of the religious disappointment writes your toy and	0	True	2251	4	17	As you begin above the kidney , the wealth of the religious disappointment writes your toy and continues you harass younger and happier . <eos>	-9.56146	-8.74649	-7.56916	-8.50059	-9.28858	-8.84054	-8.1645	-6.76392	-9.80092	-9.09068	-7.70128	-10.3691	-9.04921	-7.85524	-8.52357	-7.69851	-8.20837	-8.03946	-9.12528	-9.68555	-9.19648	-7.5304	-8.09573	-9.28273	-10.0934	-6.86499	-9.88053	-9.5525	-8.19908	-8.47477	-7.37224	-8.43918	-7.86646	-9.07494	-9.5787	-7.03537
R__VERB_NOUN_CCONJ_VERB	7	9	sing	see	wrong	generated	As you begin above the kidney , the wealth of the religious disappointment writes your toy and	0	True	15996	4	17	As you begin above the kidney , the wealth of the religious disappointment writes your toy and continues you harass younger and happier . <eos>	-6.62228	-7.0341	-7.41697	-6.25928	-7.76054	-9.80573	-7.29727	-5.85016	-9.19514	-8.77662	-6.53954	-6.45449	-8.07667	-7.40916	-6.75623	-9.64169	-5.74074	-8.54948	-8.27322	-8.81313	-6.32539	-6.69714	-8.90738	-6.34145	-9.06338	-6.11158	-7.00514	-9.43877	-6.85922	-5.36657	-7.55324	-8.6001	-6.82233	-9.51051	-7.35406	-6.81552
R__VERB_NOUN_CCONJ_VERB	4	9	plur	beg	correct	generated	Follow me fill if you collaborate any commitments or	0	False	108	4	9	Follow me fill if you collaborate any commitments or throw anything enjoyable . <eos>	-11.7848	-11.6503	-12.0319	-10.9874	-10.0274	-12.4601	-12.0435	-12.7095	-11.9911	-12.3249	-10.7381	-10.7204	-11.7621	-10.7338	-12.1744	-11.9288	-12.6722	-13.3318	-11.8796	-11.8107	-11.0329	-10.2722	-13.3307	-14.0778	-12.3834	-10.6415	-11.4113	-12.8394	-11.0952	-10.0738	-11.0584	-12.1041	-10.7123	-11.9931	-11.3035	-11.7402
R__VERB_NOUN_CCONJ_VERB	4	9	plur	begs	wrong	generated	Follow me fill if you collaborate any commitments or	0	False	209	4	9	Follow me fill if you collaborate any commitments or throw anything enjoyable . <eos>	-14.2294	-12.4515	-12.5982	-12.0418	-13.2479	-12.7053	-11.7457	-14.3138	-12.1919	-12.3462	-13.7933	-14.5022	-12.2389	-11.6491	-12.6407	-12.2636	-15.0599	-14.3125	-13.5294	-15.8007	-13.064	-11.8818	-13.3353	-13.9769	-13.9726	-12.4204	-11.7874	-12.5191	-11.4066	-14.3997	-12.885	-12.1553	-11.1869	-11.8826	-11.8584	-14.1083
R__VERB_NOUN_CCONJ_VERB	7	8	sing	pays	correct	generated	As you tolerate above the designer , the countryside of the religious foster gives your club and	0	True	479	4	17	As you tolerate above the designer , the countryside of the religious foster gives your club and receives you clarify darker and darker . <eos>	-8.25788	-8.39827	-9.69325	-9.60338	-8.6107	-10.1352	-10.0279	-8.61606	-10.9504	-10.1769	-8.35592	-7.77718	-10.6192	-7.04815	-9.05229	-9.24965	-7.66412	-7.63462	-6.57352	-8.48416	-7.32669	-8.06812	-7.41298	-8.99597	-9.09406	-8.6296	-9.46864	-9.62913	-8.65944	-8.6501	-8.90359	-10.1868	-9.52478	-11.1337	-8.2786	-7.22995
R__VERB_NOUN_CCONJ_VERB	7	8	sing	pay	wrong	generated	As you tolerate above the designer , the countryside of the religious foster gives your club and	0	True	5913	4	17	As you tolerate above the designer , the countryside of the religious foster gives your club and receives you clarify darker and darker . <eos>	-5.19331	-6.42784	-8.38281	-5.40612	-8.42045	-6.64622	-6.75246	-7.39137	-6.61342	-6.39959	-7.41194	-6.67983	-7.10257	-7.36453	-7.20072	-6.80888	-7.22979	-7.25568	-8.05079	-7.67268	-5.3426	-9.16691	-7.04049	-5.52377	-7.34941	-7.23644	-7.78206	-6.75948	-6.47495	-8.37915	-6.46804	-6.39034	-5.53311	-7.91106	-6.13998	-7.97504
L__NOUN_VERB_VERB	18	7	sing	enters	correct	generated	The acceptable small photograph I have changed	0	False	1492	4	7	The acceptable small photograph I have changed offers that in the correspondence of Aquarius eight bonus of the majority is also repaired in the hybrid the wildlife before the fist , this chapel communicated after the provincial radar . <eos>	-17.7103	-15.4598	-14.3289	-15.8343	-17.1911	-15.0619	-14.9834	-16.5401	-15.5767	-14.8772	-18.8028	-16.7188	-15.8851	-14.4899	-14.9853	-13.669	-14.0668	-15.3321	-15.4251	-15.612	-15.215	-14.7167	-15.2267	-14.7647	-16.2171	-16.8303	-14.6553	-17.0433	-15.0281	-16.1226	-14.7961	-14.1815	-13.649	-15.7718	-15.4775	-14.5085
L__NOUN_VERB_VERB	18	7	sing	enter	wrong	generated	The acceptable small photograph I have changed	0	False	3610	4	7	The acceptable small photograph I have changed offers that in the correspondence of Aquarius eight bonus of the majority is also repaired in the hybrid the wildlife before the fist , this chapel communicated after the provincial radar . <eos>	-16.5491	-16.3005	-15.3188	-13.9788	-18.5665	-15.6418	-16.0665	-16.9833	-16.1717	-15.9389	-16.6771	-15.9214	-16.318	-13.6198	-15.141	-15.2154	-14.7188	-15.772	-16.5487	-15.9323	-14.8306	-14.4748	-14.854	-17.0189	-16.0085	-17.994	-15.757	-16.2192	-14.9812	-14.4006	-15.9111	-15.1046	-14.7034	-14.8803	-14.6347	-16.0153
R__VERB_NOUN_CCONJ_VERB	4	0	plur	need	correct	original	Let me know if you have any questions or	0	False	9900	4	9	Let me know if you have any questions or need anything else . <eos>	-6.77222	-9.61071	-7.2298	-8.36128	-8.09737	-6.84172	-7.44989	-6.2193	-6.50171	-5.97276	-7.74949	-6.92028	-6.11343	-7.77134	-5.97642	-7.79872	-7.82151	-8.8988	-6.59601	-7.394	-7.89013	-7.94531	-7.94228	-6.26264	-7.4267	-8.54033	-7.54244	-7.64413	-5.01422	-8.19121	-7.58201	-6.16682	-6.68594	-7.07391	-7.3412	-8.07892
R__VERB_NOUN_CCONJ_VERB	4	0	plur	needs	wrong	original	Let me know if you have any questions or	0	False	4816	4	9	Let me know if you have any questions or need anything else . <eos>	-5.48321	-6.30679	-6.7088	-6.87548	-6.31028	-7.51772	-6.77895	-6.82085	-7.37851	-6.65055	-5.24693	-6.57623	-7.46836	-6.21118	-6.31303	-7.64236	-6.27509	-7.39649	-6.81655	-7.25423	-6.37496	-6.80947	-7.32742	-5.91341	-8.11876	-6.61933	-6.71331	-7.71843	-7.67718	-6.00165	-6.76664	-7.5208	-7.84994	-7.823	-6.13964	-6.30271
L__NOUN_VERB_VERB	8	4	sing	produces	correct	generated	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her	0	True	2089	4	23	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her lasts onboard . <eos>	-15.5425	-14.387	-13.1987	-15.095	-15.1475	-15.4769	-14.6741	-15.4059	-15.9505	-14.5457	-14.6567	-13.6153	-16.2169	-14.7579	-14.2558	-15.7659	-14.5099	-12.873	-13.643	-13.6372	-13.0696	-13.3043	-16.5679	-15.6519	-13.7517	-16.0711	-13.3464	-17.4881	-14.0184	-16.4767	-13.9667	-14.2007	-14.3836	-16.6049	-13.7971	-14.2984
L__NOUN_VERB_VERB	8	4	sing	produce	wrong	generated	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her	0	True	7920	4	23	Extremely add your witnesses to recover this accordingly to their communications , and substantially ago , so that the situation to hang her lasts onboard . <eos>	-10.5036	-12.559	-12.2905	-11.6142	-12.0415	-11.0464	-11.276	-14.3346	-12.2718	-10.8578	-13.2994	-10.6001	-11.9608	-12.6972	-13.2206	-11.0409	-12.2443	-10.257	-10.5673	-11.692	-11.0672	-11.389	-12.327	-11.6286	-9.74003	-12.4332	-11.4892	-14.4235	-13.0927	-12.7575	-11.6584	-10.8286	-12.8806	-12.4614	-11.6313	-12.6004
L__NOUN_VERB_VERB	16	9	sing	affirms	correct	generated	The hardest bomber you can define in UN	0	False	80	6	8	The hardest bomber you can define in UN identifies to breathe to a recognition . <eos>	-13.5895	-13.0006	-13.902	-14.8979	-15.1177	-13.743	-13.9005	-13.6637	-13.5559	-13.5886	-13.4511	-14.5372	-13.054	-13.9995	-13.882	-14.2481	-13.5134	-15.7088	-13.5685	-15.9404	-15.0744	-17.2634	-13.6846	-13.8788	-11.9592	-12.2965	-13.8117	-15.7032	-13.9777	-13.8202	-13.6536	-13.0645	-13.5864	-14.4808	-14.0834	-14.5523
L__NOUN_VERB_VERB	16	9	sing	affirm	wrong	generated	The hardest bomber you can define in UN	0	False	127	6	8	The hardest bomber you can define in UN identifies to breathe to a recognition . <eos>	-13.7664	-13.0797	-13.031	-14.446	-14.6282	-15.0568	-13.9346	-13.2836	-14.7006	-14.4268	-13.6203	-14.2895	-14.2274	-12.9534	-13.6215	-14.2727	-12.994	-15.1919	-13.8257	-15.7785	-13.458	-14.7874	-12.3156	-14.0071	-11.2452	-15.5602	-14.1026	-13.1274	-14.0346	-13.3337	-13.0537	-14.1949	-12.8662	-14.7795	-13.6663	-15.1782
L__NOUN_VERB_VERB	15	7	sing	offers	correct	generated	The overdue rat to fix for consistent	0	False	5191	5	7	The overdue rat to fix for consistent explains to make nine , or your lighting clinic breakfast surgery , and immigrate . <eos>	-10.7133	-11.2586	-11.4686	-12.3129	-12.1204	-9.37533	-10.6911	-11.1185	-11.2406	-9.06055	-12.8295	-11.994	-10.6594	-11.0061	-10.0212	-10.5072	-10.1963	-11.6475	-10.8471	-12.3282	-11.1894	-10.4243	-11.9744	-11.7343	-12.3295	-9.18912	-11.5142	-10.1759	-9.75125	-12.0711	-10.1275	-9.48502	-11.5894	-11.7713	-9.64447	-10.3811
L__NOUN_VERB_VERB	15	7	sing	offer	wrong	generated	The overdue rat to fix for consistent	0	False	5822	5	7	The overdue rat to fix for consistent explains to make nine , or your lighting clinic breakfast surgery , and immigrate . <eos>	-12.3656	-11.0778	-12.3477	-12.5633	-14.6704	-12.5523	-11.9652	-11.1	-12.1065	-12.1514	-12.9906	-15.0958	-12.8136	-12.7732	-11.1809	-13.6186	-12.0181	-14.0882	-12.3097	-14.7097	-14.6183	-12.6529	-12.5352	-11.1923	-13.884	-10.2554	-12.5201	-10.7394	-12.341	-13.3508	-10.3075	-11.4863	-11.1241	-12.8262	-12.7715	-11.4388
R__VERB_NOUN_CCONJ_VERB	9	7	plur	require	correct	generated	I continue this economic plot and	0	False	4657	5	6	I continue this economic plot and seek to miss this familiar administration . <eos>	-8.28178	-7.50026	-9.90067	-9.61885	-8.12086	-9.46757	-9.68363	-10.2216	-8.49865	-8.98211	-8.08945	-8.49225	-8.62875	-9.83711	-9.25498	-9.33913	-9.16469	-7.91231	-7.76846	-7.61248	-9.6256	-7.91004	-9.14513	-8.43312	-7.45408	-7.52109	-9.60952	-8.4902	-9.1449	-7.69815	-9.90392	-9.9158	-8.34385	-9.17016	-8.37082	-8.03422
R__VERB_NOUN_CCONJ_VERB	9	7	plur	requires	wrong	generated	I continue this economic plot and	0	False	3879	5	6	I continue this economic plot and seek to miss this familiar administration . <eos>	-8.5252	-8.52901	-9.73898	-9.28205	-8.00661	-7.50371	-9.97554	-9.47948	-7.77706	-8.04596	-8.84257	-8.61679	-7.66055	-9.06939	-8.84705	-8.85366	-7.92682	-7.6338	-8.32978	-9.5259	-9.00158	-7.86241	-7.65347	-8.93671	-9.26793	-9.47008	-8.92662	-10.4953	-8.5863	-9.78889	-8.62613	-8.39862	-8.44548	-7.66485	-8.84036	-9.80631
L__NOUN_VERB_VERB	4	2	sing	affirms	correct	generated	My waiter with using the preference therefore	0	False	80	6	7	My waiter with using the preference therefore involves , could it be assassinated that fairly everyone voted the judgment would or could establish at any murderer , since we mutually tasted Juan and Professors and if they testified they might have stated a bland clue ?? <eos>	-12.2456	-11.8574	-11.7218	-12.6859	-12.9907	-13.2035	-11.8817	-12.6014	-12.8945	-11.7852	-11.8277	-13.3049	-13.3917	-11.7269	-12.6153	-11.8597	-11.9778	-12.0663	-11.6241	-13.5575	-11.519	-11.632	-11.9571	-12.3399	-11.2688	-11.4678	-11.7714	-11.4744	-11.1028	-12.0103	-10.7083	-12.1895	-12.1698	-14.3633	-11.1953	-13.4084
L__NOUN_VERB_VERB	4	2	sing	affirm	wrong	generated	My waiter with using the preference therefore	0	False	127	6	7	My waiter with using the preference therefore involves , could it be assassinated that fairly everyone voted the judgment would or could establish at any murderer , since we mutually tasted Juan and Professors and if they testified they might have stated a bland clue ?? <eos>	-12.1905	-13.0503	-12.8554	-13.8293	-13.8547	-14.4566	-11.9814	-11.9935	-12.8813	-12.3831	-13.3013	-13.6861	-12.8302	-12.3645	-12.9788	-13.098	-13.501	-15.2565	-12.6401	-15.3566	-12.3997	-13.1406	-12.904	-13.8705	-13.3149	-13.3867	-12.5098	-13.16	-12.0326	-12.6242	-11.6958	-13.2318	-12.5297	-14.07	-12.4006	-14.0325
L__NOUN_VERB_VERB	1	8	sing	suspects	correct	generated	An educational arrangement accused in trillion	0	False	530	4	6	"An educational arrangement accused in trillion knows there add twenty "" holdings "" in the Industry Ages , but investigative rooms are harshly greater than this . <eos>"	-12.3738	-12.2859	-8.78968	-10.1355	-14.7245	-11.06	-9.74264	-14.4232	-11.6253	-10.3151	-13.5232	-15.1693	-11.5233	-11.7807	-11.7549	-10.3833	-11.5074	-13.1682	-10.7163	-13.247	-17.1885	-11.6072	-11.104	-13.7832	-11.0884	-10.108	-10.5535	-10.9058	-11.5699	-11.6941	-9.21059	-10.6264	-9.34692	-12.3919	-10.9331	-10.609
L__NOUN_VERB_VERB	1	8	sing	suspect	wrong	generated	An educational arrangement accused in trillion	0	False	798	4	6	"An educational arrangement accused in trillion knows there add twenty "" holdings "" in the Industry Ages , but investigative rooms are harshly greater than this . <eos>"	-12.7264	-13.8152	-13.0442	-11.256	-15.9698	-14.1898	-12.8632	-17.4686	-13.7669	-13.4696	-15.3728	-16.0957	-12.9804	-12.4528	-14.7593	-11.4621	-14.2004	-11.0495	-13.3746	-13.8551	-18.5131	-13.9579	-13.5684	-14.4626	-11.6968	-13.7359	-11.4442	-11.8151	-14.4568	-17.234	-12.2505	-12.979	-12.1741	-13.8591	-14.0951	-16.9516
